model,psnr,mse,lpips_vgg,ms_ssim,receiver_seconds,complex_channel_uses,cbr,records
deepjscc_public_imagenet_snr19,13.755158158303756,0.06772938410641574,0.6598842151094383,0.5252914565729571,0.0015308691244323807,7990.0,0.16255696614583334,9216
mambajscc_public_awgn10_clic2021,17.01955802914583,0.0566673976608614,0.5048052325954713,0.5970685354496921,0.010087509090264271,1024.0,0.02083333333333333,9216
mambajscc_public_rayleigh_div2k,16.65046632103622,0.05737964712094544,0.5202665716399982,0.6068372644019915,0.010222614336953484,1024.0,0.02083333333333333,9216
