mode,psnr,mse,lpips_vgg,ms_ssim,ms_ssim_db,latent_mse_real,receiver_seconds,psnr_from_mean_mse_not_mean_psnr,lpips_db_of_mean,n
SWINJSCC,19.65957702530755,0.022667965044901293,0.43826670489377445,0.6899401479297214,7.344635094205539,0.31171710571895045,0.0039015289140580636,16.44587465733126,-3.5826152142943704,36
CDDM_RX_N0,19.787120819091797,0.022489055190817453,0.4360610383252303,0.6915241570936309,7.416571862167782,0.31106506329443717,0.06353110622472337,16.480287897414954,-3.604527154276212,36
CDDM_RX_ORACLE,21.8152228196462,0.016660583486858133,0.3453020283745395,0.776325954331292,9.086175799369812,0.2798250683376359,0.13624885047223265,17.78309792804062,-4.618008705086911,36
ICDM_ORACLE,19.66923099093967,0.02577293386760478,0.3185945484373305,0.7249056371347251,7.972327120548774,0.3177552577108145,0.29574250605785185,15.88836140626963,-4.96761659808714,36
SC_ICDM_A4,20.711546977361042,0.01706933468166325,0.3127383362087939,0.8092506503437309,9.093045605855878,0.23329083735330236,0.31538533211116576,17.677834062264164,-5.0481887864371515,36
