mode,profile,sinr,psnr,mse,lpips_vgg,ms_ssim,ms_ssim_db,latent_mse_real,receiver_seconds,psnr_from_mean_mse_not_mean_psnr,lpips_db_of_mean,n
SWINJSCC,stationary,-7,13.180974245071411,0.0507125174626708,0.6822937726974487,0.3396313115954399,1.8558311313390732,0.5917972028255463,0.004105943997274153,12.948848297398676,-1.6602859251238025,4
SWINJSCC,stationary,0,17.298748254776,0.0211148913949728,0.5275940150022507,0.7112187892198563,5.428582668304443,0.29250310361385345,0.0039525147585663944,16.754111480389938,-2.777001397106601,4
SWINJSCC,stationary,10,27.89378786087036,0.001830687135225162,0.1732749007642269,0.9630307704210281,14.348847389221191,0.0462938928976655,0.003719762491527945,27.373858703652626,-7.612643412043486,4
SWINJSCC,alternating,-7,13.571894884109497,0.047461147885769606,0.6495845317840576,0.3967701643705368,2.2456730008125305,0.5947809219360352,0.004020664491690695,13.23661762232734,-1.8736432527059308,4
SWINJSCC,alternating,0,17.9215989112854,0.019401072524487972,0.48846425116062164,0.6996090710163116,5.347331523895264,0.2943549379706383,0.003705392751726322,17.12174260864015,-3.1116721514232095,4
SWINJSCC,alternating,10,27.281906604766846,0.002495389970135875,0.17816559225320816,0.9620313495397568,14.25549840927124,0.04661533236503601,0.003834787494270131,26.028615748326512,-7.491761641453609,4
SWINJSCC,burst,-7,14.218526363372803,0.0412663072347641,0.6087552309036255,0.4595791772007942,2.7447885274887085,0.5968992561101913,0.004146244493313134,13.844043927489329,-2.1555729396158925,4
SWINJSCC,burst,0,18.320924282073975,0.017200613394379616,0.4546309635043144,0.7157999873161316,5.63420045375824,0.2954266890883446,0.003529444002197124,17.644560653573183,-3.4234098915410227,4
SWINJSCC,burst,10,27.24783182144165,0.002529058401705697,0.18163708597421646,0.9617907106876373,14.240962743759155,0.046782614663243294,0.004099005745956674,25.970411416932922,-7.407954741541887,4
CDDM_RX_N0,stationary,-7,13.175973653793335,0.050801362842321396,0.682366818189621,0.33968811482191086,1.85552316904068,0.5918716341257095,0.06437784325680695,12.941246367916568,-1.6598209999340454,4
CDDM_RX_N0,stationary,0,17.331994771957397,0.020986758172512054,0.5248480811715126,0.714617133140564,5.479335308074951,0.29172196984291077,0.06235958500474226,16.780546417665064,-2.799663862258157,4
CDDM_RX_N0,stationary,10,28.65068483352661,0.0014120508276391774,0.16513901203870773,0.9651912897825241,14.620113611221313,0.04440850391983986,0.06335958249110263,28.501496703055096,-7.821503179441823,4
CDDM_RX_N0,alternating,-7,13.57029414176941,0.04748770548030734,0.6495449990034103,0.3965928554534912,2.244851231575012,0.5948511809110641,0.06266560425865464,13.234188142317365,-1.8739075661263838,4
CDDM_RX_N0,alternating,0,18.067046880722046,0.018460408551618457,0.4860239550471306,0.7050187438726425,5.425136208534241,0.2936706319451332,0.06742652875254862,17.337586917310134,-3.1334232479450814,4
CDDM_RX_N0,alternating,10,27.384302139282227,0.0024414849031018093,0.1749780736863613,0.9630744755268097,14.376793622970581,0.04489119257777929,0.0634209137497237,26.123459568272665,-7.570163688772627,4
CDDM_RX_N0,burst,-7,14.224185466766357,0.04120537033304572,0.6087069362401962,0.459424763917923,2.743914484977722,0.5973972082138062,0.06305197250912897,13.850461782868809,-2.1559174941558155,4
CDDM_RX_N0,burst,0,18.341832637786865,0.017121450044214725,0.4541300758719444,0.7173988223075867,5.657270073890686,0.2954840436577797,0.06232019000162836,17.66459456975858,-3.4281973493521467,4
CDDM_RX_N0,burst,10,27.337772846221924,0.0024849055625963956,0.17881139367818832,0.9627112150192261,14.346209049224854,0.04528920445591211,0.06279773599817418,26.046901117284804,-7.476048118604873,4
CDDM_RX_ORACLE,stationary,-7,15.472849369049072,0.031800536438822746,0.5001827999949455,0.6397559493780136,4.503115296363831,0.48463577777147293,0.13640195249172393,14.975655539006114,-3.008712466233435,4
CDDM_RX_ORACLE,stationary,0,22.667108058929443,0.0059251778293401,0.24974219873547554,0.8955818563699722,9.856159925460815,0.16060837358236313,0.1376800057478249,22.272986108634825,-6.02508069064146,4
CDDM_RX_ORACLE,stationary,10,29.676802158355713,0.0011023166007362306,0.14786114171147346,0.9715742319822311,15.504428148269653,0.032562632113695145,0.13425325199204963,29.57693652122025,-8.301459447158141,4
CDDM_RX_ORACLE,alternating,-7,13.947317600250244,0.045036645606160164,0.612199179828167,0.45026731491088867,2.6774603724479675,0.6390212178230286,0.1361659095127834,13.464339638269035,-2.131072565687069,4
CDDM_RX_ORACLE,alternating,0,21.031172275543213,0.009338046074844897,0.3161926344037056,0.8514266759157181,8.405544996261597,0.21265306323766708,0.14457422199484427,20.297439875479064,-5.000482510233044,4
CDDM_RX_ORACLE,alternating,10,29.562479496002197,0.0011337368632666767,0.15307841822504997,0.9706458896398544,15.373735666275024,0.033978359773755074,0.13049415851128288,29.454877321204663,-8.150860340336475,4
CDDM_RX_ORACLE,burst,-7,13.93705153465271,0.04423833638429642,0.6149645149707794,0.4078157842159271,2.3601861596107483,0.6766607612371445,0.13766249874606729,13.542012133648626,-2.111499434066936,4
CDDM_RX_ORACLE,burst,0,20.536323070526123,0.010224438272416592,0.3550487756729126,0.829740360379219,7.796959400177002,0.2432859241962433,0.13525113050127402,19.903605426742732,-4.497119806054765,4
CDDM_RX_ORACLE,burst,10,29.50590181350708,0.0011460173118393868,0.15844859182834625,0.9701255261898041,15.29799222946167,0.03501950530335307,0.13375652475224342,29.408088218280266,-8.001116161385362,4
ICDM_ORACLE,stationary,-7,12.500730037689209,0.06115714181214571,0.4609464034438133,0.434099740572492,2.830140653633862,0.6138106137514114,0.2961482145037735,12.135528196007732,-3.363495692780249,4
ICDM_ORACLE,stationary,0,19.125816345214844,0.012519928393885493,0.2905072346329689,0.8526250123977661,8.322583794593811,0.23127540946006775,0.2977967052574968,19.02398155009721,-5.3684304770720015,4
ICDM_ORACLE,stationary,10,27.66126251220703,0.0017761032504495233,0.17683367803692818,0.9554060250520706,13.52339220046997,0.06377772614359856,0.289371424500132,27.505317909239267,-7.524350199070539,4
ICDM_ORACLE,alternating,-7,12.5263192653656,0.06037542782723904,0.47865939140319824,0.36474221789831063,2.3376656913897023,0.655532956123352,0.29847160501230974,12.191397787687823,-3.199734157133609,4
ICDM_ORACLE,alternating,0,18.840540409088135,0.013420083560049534,0.2946547195315361,0.83741594851017,7.943993806838989,0.24309608340263367,0.2900810407445533,18.72244780027277,-5.306865983492893,4
ICDM_ORACLE,alternating,10,27.649376392364502,0.0017824659880716354,0.17999187856912613,0.9550832211971283,13.506547927856445,0.06424231640994549,0.2931173722463427,27.489787483393417,-7.447470902977252,4
ICDM_ORACLE,burst,-7,12.3729088306427,0.06509257480502129,0.4889649227261543,0.349433809358743,2.2303992402739823,0.6639495342969894,0.2933923840028001,11.864685491449173,-3.1072229509494917,4
ICDM_ORACLE,burst,0,18.7267484664917,0.014048998709768057,0.31403542309999466,0.8203563392162323,7.551778078079224,0.25959764420986176,0.30062802325119264,18.523546273829925,-5.030213608784777,4
ICDM_ORACLE,burst,10,27.61937665939331,0.0017836804618127644,0.18275728449225426,0.954988420009613,13.504442691802979,0.06451503559947014,0.3026757850020658,27.48682944859596,-7.381253035534691,4
SC_ICDM_A4,stationary,-7,12.697779178619385,0.059819248504936695,0.5623605847358704,0.4239779490599176,2.7233994034322677,0.5655686408281326,0.31496909000270534,12.231590472092346,-2.4998512616672763,4
