track,model,psnr_db,mse,lpips_vgg,ms_ssim,nfe,receiver_ms,cbr,records,scope
frozen_swinjscc,DIRECT,18.665095418743377,0.029138144382610816,0.44049986094614724,0.6965443040001433,0.0,7.56652047539319,0.020833333333333332,9216,Paired shared received tensors; A4_GATE cost excludes gate overhead
frozen_swinjscc,CDDM_N0,18.82942831893969,0.02870266480859919,0.4376509718212118,0.7004309661592727,18.0,224.52040161484396,0.020833333333333332,9216,Paired shared received tensors; A4_GATE cost excludes gate overhead
frozen_swinjscc,CDDM_BLIND,20.842521491719204,0.024902334783001204,0.3778602983042624,0.7819473296127532,39.99989149305556,487.9015119843694,0.020833333333333332,9216,Paired shared received tensors; A4_GATE cost excludes gate overhead
frozen_swinjscc,A3,19.608932381133652,0.020149195919758413,0.3633602639278656,0.7928380879945782,80.0,1109.8448694260824,0.020833333333333332,9216,Paired shared received tensors; A4_GATE cost excludes gate overhead
frozen_swinjscc,A4,20.25915662261347,0.018487936448170532,0.36178396391996004,0.8015099972302188,80.0,1179.657026312422,0.020833333333333332,9216,Paired shared received tensors; A4_GATE cost excludes gate overhead
frozen_swinjscc,SELECT,21.592856475617737,0.016448289682266984,0.3362277294104893,0.8317822038482663,52.2177734375,700.9865514249769,0.020833333333333332,9216,Paired shared received tensors; A4_GATE cost excludes gate overhead
frozen_swinjscc,A4_GATE,20.453187856409286,0.01843408140178187,0.3614532017098908,0.8006419618856566,65.9375,973.8886500242643,0.020833333333333332,9216,Paired shared received tensors; A4_GATE cost excludes gate overhead
matched_retrained,deepjscc,17.394034907221794,0.02470546282719018,0.5749862328909027,0.6836908493026712,0.0,1.207409169662949,0.020833333333333332,9216,"Direct codec reference, own interference encoder, single training seed, fixed 40 epochs"
matched_retrained,mambajscc,16.923192606773227,0.044125618544459004,0.4629970293212359,0.6134976148548209,0.0,9.781114484730502,0.020833333333333332,9216,"Direct codec reference, own interference encoder, single training seed, fixed 40 epochs"
public_pretrained,deepjscc_public_imagenet_snr19,13.755158158303756,0.06772938410641574,0.6598842151094383,0.5252914565729571,0,,0.16255696614583334,9216,Protocol mismatch; no fine-tuning; concurrent timing excluded
public_pretrained,mambajscc_public_awgn10_clic2021,17.01955802914583,0.0566673976608614,0.5048052325954713,0.5970685354496921,0,,0.02083333333333333,9216,Protocol mismatch; no fine-tuning; concurrent timing excluded
public_pretrained,mambajscc_public_rayleigh_div2k,16.65046632103622,0.05737964712094544,0.5202665716399982,0.6068372644019915,0,,0.02083333333333333,9216,Protocol mismatch; no fine-tuning; concurrent timing excluded
